Platform,Project,Source,Asset,Database_Dataset,Table_Name,Table_Size_GB,File_Path_HDFS,Link_Script_Notebook,Link_Pipeline_Orchestration
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_SalesOrderPromoInformations,0.02924346875,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Data Landing,L1_STAR,Order_SalesOrders,0.60687255859,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/synapsenotebooks/4a162c99-448b-4578-a29c-d971270c595f?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/pipelines/a5ba39df-7524-4f11-90b4-0b30409a7633?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_SalesPricingProcedureDetermination,0.00000000000,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Order_SpscDocuments,0.19813537597,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_ApprovalDocument,0.04321289062,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_ApprovalHistory,0.13246917675,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_DealerStockDaysUnitColors,0.18214416503,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_DealerStockDaysUnits,0.08046722363,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_EngineFrameCatalogueGroupDetails,0.00012207031,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_EngineFrameCatalogueGroups,0.00002288769,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Data Landing,L1_STAR,Procurement_LeadTimes,0.00003814648,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/synapsenotebooks/7e3fa38e-94d0-48be-88e1-a2d78ad07aed?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/pipelines/f8e10948-de02-4dd5-8e2b-3e0f0f4ab9b9?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseContractUnitHistories,0.00491333007,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseContractUnitHistoryItems,2.02513122558,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseContractUnitItems,0.64558410644,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseContractUnits,0.00267028808,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderPartInboundMD,0.00267791699,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderPartIndents,0.16377258300,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderPartReceipts,0.41806793164,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderPartSerialNumbers,0.00001525878,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderPartTrackingHotlineSteps,0.02135467480,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderPartTrackingHotlines,0.00609588574,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
